	"ITS"		"rps16 intron"		"matK"	
"Pedicularis tristis"	"XXXX"	"A. Tribsch 9541 (WU)"	"XXXX"	"A. Tribsch 9541 (WU)"	"XXXX"	"A. Tribsch 9541 (WU)"
"Pedicularis urceolata"	"XXXX"	"D. E. Boufford et al. 33305 (A)"	"XXXX"	"D. E. Boufford et al. 33305 (A)"	"XXXX"	"D. E. Boufford et al. 33305 (A)"
"Pedicularis verticillata"	"XXXX"	"D. E. Boufford et al. 39306 (A)"			"XXXX"	"D. E. Boufford et al. 39306 (A)"
"Castilleja rubicundula"	"EF103685"					
"Castilleja exilis"			"EF103785"			
"Castilleja linariifolia"					"AF051981"	
"Seymeria pectinata"	"AY911253"		"EF103820"		"AF051999"	
"Siphonostegia laeta"	"XXXX"	"Sino-Amer. Bot. Exped. 730 (A)"	"XXXX"	"Sino-Amer. Bot. Exped. 730 (A)"	"XXXX"	"Sino-Amer. Bot. Exped. 730 (A)"
"Siphonostegia chinensis"	"XXXX"	"T. Kurosawa 4091 (A)"	"XXXX"	"Xie Zhong-Wen et al. 97127 (A)"	"XXXX"	"Xie Zhong-Wen et al. 97127 (A)"
"Phtheirospermum"	"AY949708"				"AY949770"	
"Aureolaria pedicularia"					"AY563920"	
"Brachystigma wrightii"					"AY563922"	
